,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
85,2018-11-26,22.9,23.0,21.01,21.22,PDD Holdings,PDD,Consumer Discretionary
86,2018-11-27,20.95,22.54,20.85,22.45,PDD Holdings,PDD,Consumer Discretionary
87,2018-11-28,22.7,23.27,22.5,22.9,PDD Holdings,PDD,Consumer Discretionary
88,2018-11-29,22.98,23.4,21.87,22.44,PDD Holdings,PDD,Consumer Discretionary
89,2018-11-30,22.56,23.43,22.43,22.96,PDD Holdings,PDD,Consumer Discretionary
90,2018-12-03,24.33,25.0,23.62,23.97,PDD Holdings,PDD,Consumer Discretionary
91,2018-12-04,23.9,24.19,23.16,23.32,PDD Holdings,PDD,Consumer Discretionary
92,2018-12-06,22.5,22.97,22.1,22.54,PDD Holdings,PDD,Consumer Discretionary
93,2018-12-07,22.53,23.0,20.05,20.61,PDD Holdings,PDD,Consumer Discretionary
94,2018-12-10,21.0,21.23,19.92,20.11,PDD Holdings,PDD,Consumer Discretionary
95,2018-12-11,20.84,21.21,20.52,20.81,PDD Holdings,PDD,Consumer Discretionary
96,2018-12-12,21.12,22.84,21.1,22.65,PDD Holdings,PDD,Consumer Discretionary
97,2018-12-13,22.82,23.38,22.1396,22.58,PDD Holdings,PDD,Consumer Discretionary
98,2018-12-14,21.91,23.37,21.78,23.1,PDD Holdings,PDD,Consumer Discretionary
99,2018-12-17,22.69,22.77,21.54,22.18,PDD Holdings,PDD,Consumer Discretionary
100,2018-12-18,22.26,23.18,22.1,23.0,PDD Holdings,PDD,Consumer Discretionary
101,2018-12-19,22.65,23.15,21.6701,22.32,PDD Holdings,PDD,Consumer Discretionary
102,2018-12-20,22.02,22.66,21.3179,21.49,PDD Holdings,PDD,Consumer Discretionary
103,2018-12-21,21.81,22.6,20.5,21.13,PDD Holdings,PDD,Consumer Discretionary
104,2018-12-24,20.84,22.03,20.76,21.3,PDD Holdings,PDD,Consumer Discretionary
105,2018-12-26,21.4,21.9,21.1596,21.51,PDD Holdings,PDD,Consumer Discretionary
106,2018-12-27,21.59,22.2,21.11,21.9,PDD Holdings,PDD,Consumer Discretionary
107,2018-12-28,22.11,22.63,21.316,22.06,PDD Holdings,PDD,Consumer Discretionary
108,2018-12-31,22.52,22.68,21.8,22.44,PDD Holdings,PDD,Consumer Discretionary
