,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
507,2011-11-22,4.704,4.75,4.63,4.72,Fortinet,FTNT,Information Technology
508,2011-11-23,4.654,4.69,4.512,4.564,Fortinet,FTNT,Information Technology
509,2011-11-25,4.53,4.618,4.526,4.558,Fortinet,FTNT,Information Technology
510,2011-11-28,4.69,4.837,4.67,4.706,Fortinet,FTNT,Information Technology
511,2011-11-29,4.66,4.734,4.564,4.626,Fortinet,FTNT,Information Technology
512,2011-11-30,4.77,4.836,4.736,4.798,Fortinet,FTNT,Information Technology
513,2011-12-01,4.76,4.836,4.686,4.804,Fortinet,FTNT,Information Technology
514,2011-12-02,4.856,4.976,4.828,4.878,Fortinet,FTNT,Information Technology
515,2011-12-05,4.954,5.32,4.916,5.12,Fortinet,FTNT,Information Technology
516,2011-12-06,4.972,5.036,4.876,4.914,Fortinet,FTNT,Information Technology
517,2011-12-07,4.894,4.898,4.659,4.734,Fortinet,FTNT,Information Technology
518,2011-12-08,4.688,4.8,4.662,4.69,Fortinet,FTNT,Information Technology
519,2011-12-09,4.82,4.974,4.704,4.908,Fortinet,FTNT,Information Technology
520,2011-12-12,4.804,4.9,4.724,4.79,Fortinet,FTNT,Information Technology
521,2011-12-13,4.83,4.838,4.636,4.662,Fortinet,FTNT,Information Technology
522,2011-12-14,4.612,4.656,4.412,4.432,Fortinet,FTNT,Information Technology
523,2011-12-15,4.474,4.536,4.36,4.37,Fortinet,FTNT,Information Technology
524,2011-12-16,4.382,4.536,4.36,4.434,Fortinet,FTNT,Information Technology
525,2011-12-19,4.442,4.448,4.3,4.316,Fortinet,FTNT,Information Technology
526,2011-12-20,4.414,4.414,4.188,4.272,Fortinet,FTNT,Information Technology
527,2011-12-21,4.24,4.242,3.63,4.01,Fortinet,FTNT,Information Technology
528,2011-12-22,4.012,4.138,4.01,4.124,Fortinet,FTNT,Information Technology
529,2011-12-23,4.142,4.21,4.14,4.166,Fortinet,FTNT,Information Technology
530,2011-12-27,4.152,4.244,4.112,4.228,Fortinet,FTNT,Information Technology
531,2011-12-28,4.236,4.32,4.204,4.268,Fortinet,FTNT,Information Technology
532,2011-12-29,4.268,4.392,4.256,4.332,Fortinet,FTNT,Information Technology
